# AUTO-GENERATED from /Users/caulisnomoto/caulis-repo/nimt-detection-service/src/main/java/jp/caulis/nimt/customfunction/CFVar.java
# format: variable|type|api|description
# partialKey=true は prefix_* として出力される

fa_bluetoothEnable|Boolean|All|ログイン検知の結果から取得したbluetoothEnableの値
fa_board|String|All|ログイン検知の結果から取得したboardの値
fa_bootloader|String|All|ログイン検知の結果から取得したbootloaderの値
fa_brand|String|All|ログイン検知の結果から取得したbrandの値
fa_brightnessSensor|Float|All|ログイン検知の結果から取得したbrightnessSensorの値
fa_browser|String|All|ログイン検知の結果から取得したbrowserの値
fa_browserGroup|String|All|ログイン検知の結果から取得したbrowserGroupの値
fa_browserLanguage|String|All|ログイン検知の結果から取得したbrowserLanguageの値
fa_camera|String|All|ログイン検知の結果から取得したcameraの値
fa_carrierName|String|All|ログイン検知の結果から取得したcarrierNameの値
fa_caulisSessionId|String|All|ログイン検知の結果から取得したcaulisSessionIdの値
fa_city|String|All|ログイン検知の結果から取得したcityの値
fa_companyId|Float|All|ログイン検知の結果から取得したcompanyIdの値
fa_connectedIpAddress|String|All|ログイン検知の結果から取得したconnectedIpAddressの値
fa_continuousLoginFailures|Float|All|ログイン検知の結果から取得したcontinuousLoginFailuresの値
fa_continuousLoginFailuresByCookie|Float|All|ログイン検知の結果から取得したcontinuousLoginFailuresByCookieの値
fa_continuousLoginFailuresByIp|Float|All|ログイン検知の結果から取得したcontinuousLoginFailuresByIpの値
fa_cookieCountGroupedByUser|Float|All|ログイン検知の結果から取得したcookieCountGroupedByUserの値
fa_cookieCountGroupedByUser_firstParty|Float|All|ログイン検知の結果から取得したcookieCountGroupedByUser_firstPartyの値
fa_cookieSupported|Boolean|All|ログイン検知の結果から取得したcookieSupportedの値
fa_country|String|All|ログイン検知の結果から取得したcountryの値
fa_countryCode|String|All|ログイン検知の結果から取得したcountryCodeの値
fa_cpuAbi|String|All|ログイン検知の結果から取得したcpuAbiの値
